stateName,agencyName,year,totalSpending,prevTotalSpending,yoyPCT
Alaska,Consumer Product Safety Commission,2019,990,1890,-47.619047
Alaska,Consumer Product Safety Commission,2020,850,990,-14.141414
Alaska,Consumer Product Safety Commission,2021,700,850,-17.647058
Alaska,Consumer Product Safety Commission,2022,900,700,28.571428
Alaska,Consumer Product Safety Commission,2024,99330,900,10936.66667
Alaska,Corporation for National and Community Service,2018,2580729.17,NULL,NULL
Alaska,Corporation for National and Community Service,2019,1736318.89,2580729.17,-32.719833
Alaska,Corporation for National and Community Service,2020,1348276.21,1736318.89,-22.348583
Alaska,Corporation for National and Community Service,2021,3494842.83,1348276.21,159.208224
Alaska,Corporation for National and Community Service,2022,3076463.7,3494842.83,-11.971328
Alaska,Corporation for National and Community Service,2023,3257650.57,3076463.7,5.889452
Alaska,Corporation for National and Community Service,2024,3528734.3,3257650.57,8.321448
Alaska,Corporation for National and Community Service,2025,3229913.22,3528734.3,-8.468222
Alaska,Denali Commission,2018,40271841.08,NULL,NULL
Alaska,Denali Commission,2019,0,40271841.08,-100
Alaska,Denali Commission,2020,8896725.09,0,NULL
Alaska,Denali Commission,2021,14605593.93,8896725.09,64.168205
Alaska,Denali Commission,2022,20913481.39,14605593.93,43.188161
Alaska,Denali Commission,2023,46873887.2,20913481.39,124.132397
Alaska,Denali Commission,2024,60277353.55,46873887.2,28.59474
Alaska,Denali Commission,2025,177858558.7,60277353.55,195.066966
Alaska,Department of Agriculture,2024,35866,NULL,NULL
Alaska,Department of Education,2018,403815677.2,NULL,NULL
Alaska,Department of Education,2019,423943446.6,403815677.2,4.984395
Alaska,Department of Education,2020,508188935.7,423943446.6,19.871869
Alaska,Department of Education,2021,1105513275,508188935.7,117.539815
Alaska,Department of Education,2022,373474773.2,1105513275,-66.21707
Alaska,Department of Education,2023,503975542.5,373474773.2,34.942325
Alaska,Department of Education,2024,527559234.6,503975542.5,4.679531
Alaska,Department of Education,2025,441891716.9,527559234.6,-16.238464
Alaska,Department of Energy,2018,17911677.38,NULL,NULL
Alaska,Department of Energy,2019,26885506.55,17911677.38,50.100439
Alaska,Department of Energy,2020,13518430.46,26885506.55,-49.71852
Alaska,Department of Energy,2021,68726390.23,13518430.46,408.390307
Alaska,Department of Energy,2022,31411547.14,68726390.23,-54.294781
Alaska,Department of Energy,2023,79271518.08,31411547.14,152.364258
Alaska,Department of Energy,2024,407866384.6,79271518.08,414.518195
Alaska,Department of Energy,2025,300154621,407866384.6,-26.40859
Alaska,Department of Homeland Security,2019,3900000,NULL,NULL
Alaska,Department of Housing and Urban Development,2018,2317633.33,NULL,NULL
Alaska,Department of Housing and Urban Development,2019,0,2317633.33,-100
Alaska,Department of Housing and Urban Development,2021,5032796.76,0,NULL
Alaska,Department of Housing and Urban Development,2022,11508705.66,5032796.76,128.674158
Alaska,Department of Housing and Urban Development,2023,11023149.82,11508705.66,-4.21903
Alaska,Department of Housing and Urban Development,2024,10220054.93,11023149.82,-7.28553
Alaska,Department of Housing and Urban Development,2025,7237554.27,10220054.93,-29.182824
Alaska,Department of State,2018,27225161.99,NULL,NULL
Alaska,Department of State,2019,17936103.05,27225161.99,-34.119389
Alaska,Department of State,2020,51213606.45,17936103.05,185.533631
Alaska,Department of State,2021,58761126.66,51213606.45,14.737333
Alaska,Department of State,2022,127249397.3,58761126.66,116.553705
Alaska,Department of State,2023,104977370.2,127249397.3,-17.502658
Alaska,Department of State,2024,101707305.2,104977370.2,-3.115019
Alaska,Department of State,2025,67758000.62,101707305.2,-33.379416
Alaska,Department of Veterans Affairs,2018,22950780.38,NULL,NULL
Alaska,Department of Veterans Affairs,2019,24845065.36,22950780.38,8.253684
Alaska,Department of Veterans Affairs,2020,11472968.96,24845065.36,-53.82194
Alaska,Department of Veterans Affairs,2021,31904998.58,11472968.96,178.088424
Alaska,Department of Veterans Affairs,2022,250293310.2,31904998.58,684.4956
Alaska,Department of Veterans Affairs,2023,252653243.8,250293310.2,0.942867
Alaska,Department of Veterans Affairs,2024,291614840,252653243.8,15.420976
Alaska,Department of Veterans Affairs,2025,367038387.9,291614840,25.864097
Alaska,Election Assistance Commission,2018,3000000,NULL,NULL
Alaska,Election Assistance Commission,2020,6000000,3000000,100
Alaska,Election Assistance Commission,2021,0,6000000,-100
Alaska,Election Assistance Commission,2022,1000000,0,NULL
Alaska,Election Assistance Commission,2023,1000000,1000000,0
Alaska,Election Assistance Commission,2024,1000000,1000000,0
Alaska,Election Assistance Commission,2025,272727,1000000,-72.7273
